OBJECTID_x,AIN,APN,SitusCity,SitusFullAddress,TaxRateCity,CENTER_LAT,CENTER_LON,CENTER_X,CENTER_Y,LAT_LON,ShapeSTArea,ShapeSTLength,Shape,WKT,OBJECTID_y,CODE,BLD_ID,HEIGHT,ELEV,AREA,LARIAC_SOU,LARIAC_DAT,STATUS,CODE_NUM,coords,PARCEL_WKT
13119,5591019003,5591-019-003,LOS ANGELES CA,1949 HOLLYVISTA AVE LOS ANGELES CA 90027,LOS ANGELES,34.10365005,-118.2780321,6477499.201,1860218.825,"34.103650, -118.278032",5025.59375,303.7090918,,"MULTIPOLYGON (((-118.278005943455 34.1037823491623,-118.277921862428 34.1037490740765,-118.27795972906 34.1036828180873,-118.277964856581 34.1036848392486,-118.277997172959 34.1036282965063,-118.278015961017 34.1036357549344,-118.278028211279 34.1036143757511,-118.27812601878 34.1036530608208,-118.278068183834 34.1037541782031,-118.278030542723 34.1037392885555,-118.278005943455 34.1037823491623)))",422856,Building,477498860229,38.5,541.73,2044,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.277912268886 34.1037885091413,-118.277911816381 34.1037877768558,-118.27788710574 34.1037498535831,-118.277957438261 34.1036382076086,-118.277961851753 34.1036312024291,-118.278046749156 34.1034964339834,-118.278184280564 34.1035433497316,-118.278043935566 34.1037882460929,-118.277912268886 34.1037885091413)))"
23312,5434019007,5434-019-007,LOS ANGELES CA,3008 SURRY ST LOS ANGELES CA 90027,LOS ANGELES,34.11131129,-118.27390600000001,6478755.896000001,1863003.451,"34.111311, -118.273906",6935.223633,379.733927,,"MULTIPOLYGON (((-118.273980545882 34.1113170168643,-118.273854049927 34.1113170015694,-118.273854080015 34.1112457768059,-118.273851768147 34.1112457820447,-118.273851784117 34.1112003591814,-118.273911381533 34.1112003620486,-118.273911362969 34.1112046209314,-118.273953748646 34.1112046348406,-118.273953752607 34.1112058437871,-118.273982893179 34.1112067667055,-118.273980545882 34.1113170168643)))",386294,Building,478756862987,24.4,498.39,1614,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.273819002759 34.1114699795715,-118.2738215683 34.1111128364329,-118.273905280885 34.1111259591819,-118.273989469093 34.1111367726009,-118.273986855672 34.1115295553954,-118.273819002759 34.1114699795715)))"
23312,5434019007,5434-019-007,LOS ANGELES CA,3008 SURRY ST LOS ANGELES CA 90027,LOS ANGELES,34.11131129,-118.27390600000001,6478755.896000001,1863003.451,"34.111311, -118.273906",6935.223633,379.733927,,"MULTIPOLYGON (((-118.273985938702 34.1114809159189,-118.273935062916 34.11148089422,-118.273935056359 34.1114686378968,-118.273854049981 34.111468574472,-118.273854124354 34.1114105390324,-118.273880487347 34.1114105622294,-118.273880507511 34.1113763508179,-118.273986422243 34.1113764406963,-118.273986302879 34.1114809150932,-118.273985938702 34.1114809159189)))",415970,Building,478744863047,11.63,492.16,1314,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.273819002759 34.1114699795715,-118.2738215683 34.1111128364329,-118.273905280885 34.1111259591819,-118.273989469093 34.1111367726009,-118.273986855672 34.1115295553954,-118.273819002759 34.1114699795715)))"
54204,5591019008,5591-019-008,LOS ANGELES CA,2012 SANBORN AVE LOS ANGELES CA 90027,LOS ANGELES,34.10398927,-118.2784216,6477381.657000001,1860342.5990000002,"34.103989, -118.278422",4680.033203,287.8864691,,"MULTIPOLYGON (((-118.278416925403 34.1040542671241,-118.278417889978 34.10397713247,-118.278467210626 34.1039775687568,-118.278467676486 34.1039387945657,-118.278560701308 34.1039395691375,-118.278560132657 34.1039871641618,-118.278580316316 34.1039873376059,-118.278579488609 34.1040560633507,-118.278543976708 34.1040557611618,-118.278544003452 34.1040540292559,-118.278472748808 34.104053424477,-118.2784727532 34.1040547434092,-118.278416925403 34.1040542671241)))",366524,Building,477357860329,19.81,496.27,1750,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.278259488889 34.103922003905,-118.278576856176 34.1039244774626,-118.278577352359 34.1040618685344,-118.278273195723 34.1040581484943,-118.278259488889 34.103922003905)))"
54205,5591019026,5591-019-026,LOS ANGELES CA,3962 FRANKLIN AVE LOS ANGELES CA 90027,LOS ANGELES,34.10521856,-118.2782837,6477424.637999999,1860789.842,"34.105219, -118.278284",4561.199219,294.81954029999997,,"MULTIPOLYGON (((-118.278276590977 34.1052529950905,-118.278276552061 34.1052510713092,-118.278322071165 34.1052507465025,-118.278322220815 34.1052657503668,-118.27832585473 34.105265741997,-118.278325904438 34.1052709076649,-118.278359201948 34.1052706659867,-118.278359598577 34.1053103721801,-118.278365544104 34.1053103305367,-118.278366031301 34.1053642185326,-118.27830580666 34.105364357251,-118.278305504883 34.1053550946974,-118.278255096866 34.1053554550968,-118.278255086084 34.1053522150131,-118.278248694072 34.1053522684975,-118.27824567146 34.1053522916851,-118.278245622867 34.105348436843,-118.278245581668 34.1053451751926,-118.278244396029 34.1053451833318,-118.278238876407 34.1053452185794,-118.278238479376 34.1053053744522,-118.278241650518 34.1053053671505,-118.278241307843 34.1052717615045,-118.278244445296 34.1052717272343,-118.278244251536 34.1052532345399,-118.278276590977 34.1052529950905)))",385109,Building,477423860820,23.98,531.33,1358,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.278212521589 34.1050736224932,-118.278356059804 34.1050870691655,-118.278360237785 34.1050874613702,-118.278362397814 34.1052652711056,-118.278362525874 34.1052758482932,-118.278363585541 34.1053629782726,-118.278218239599 34.105363609903,-118.27821552365 34.105225945742,-118.278212521589 34.1050736224932)))"
72286,5056024903,5056-024-903,LOS ANGELES CA,1944 N VERMONT AVE LOS ANGELES CA 90027,LOS ANGELES,34.03886451,-118.2912111,6473441.307999999,1836653.52,"34.038865, -118.291211",20392.42383,573.8023059999999,,"MULTIPOLYGON (((-118.291277137963 34.0386532773763,-118.291381070815 34.038652688534,-118.291384554735 34.0390843978549,-118.291228189883 34.0390852258649,-118.29101034165 34.0390863830791,-118.291008849634 34.0388469915546,-118.291248019322 34.0388459208478,-118.29124795926 34.0388286638953,-118.291271658946 34.0388286067266,-118.291271720255 34.0388462206821,-118.291277298373 34.0388462072258,-118.291277137963 34.0386532773763)))",559252,Building,473457836694,58.9,258.28,12131,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.290995261926 34.0386523930675,-118.291213104995 34.0386511230489,-118.291424082811 34.0386499242554,-118.291426079341 34.0390816599362,-118.291215793293 34.0390827746137,-118.290997948713 34.0390839347204,-118.290995261926 34.0386523930675)))"
99626,5588031029,5588-031-029,LOS ANGELES CA,2550 ABERDEEN AVE LOS ANGELES CA 90027,LOS ANGELES,34.11674461,-118.2882414,6474422.276000001,1864992.864,"34.116745, -118.288241",30895.960939999997,749.6163669,,"MULTIPOLYGON (((-118.288223943095 34.1166116105463,-118.288224598389 34.1166196326591,-118.288242105042 34.116618683976,-118.28824248523 34.1166233269075,-118.288295897916 34.1166203695293,-118.288297209365 34.1166366887246,-118.288372589242 34.1166325249302,-118.288380219825 34.1167279674231,-118.288319241612 34.1167313557233,-118.288322073627 34.1167667693345,-118.288396759025 34.1167626613548,-118.288401766891 34.116825520469,-118.288320473912 34.1168300012852,-118.288321061722 34.1168373095025,-118.288269629929 34.1168401529828,-118.288277158679 34.1169346887946,-118.288191241405 34.1169394283561,-118.288190239972 34.1169269003389,-118.288124592498 34.1169172193248,-118.288103947363 34.1169183675087,-118.288064011625 34.1169189495863,-118.288063757151 34.1169130415152,-118.288058728041 34.1167967439583,-118.28815562145 34.1167942880387,-118.288150925354 34.1167353290224,-118.288170975371 34.1167342101743,-118.28816762544 34.1166922031535,-118.288140836747 34.1166936958921,-118.288138972243 34.1166703975393,-118.288110432218 34.1166719774666,-118.28810725527 34.1166320579436,-118.288190859601 34.1166274347338,-118.288189754737 34.1166135060215,-118.288223943095 34.1166116105463),(-118.288263652723 34.116754543238,-118.288236501253 34.1167564489443,-118.288239410239 34.1167855966263,-118.28826656071 34.1167836910056,-118.288263652723 34.116754543238)))",488278,Building,474428865042,21.54,722.6799999999998,7674,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.288105692127 34.1169260214652,-118.287912098634 34.1168906802733,-118.287879833083 34.1168847946243,-118.287896860549 34.116619476715,-118.287890957965 34.1164882261683,-118.288001168612 34.116496563256,-118.288155926159 34.1165082558853,-118.288149780923 34.1165658105217,-118.288403247337 34.116584438354,-118.288654949265 34.1166182929622,-118.288612228529 34.1167463746903,-118.2885735579 34.1168753431778,-118.288538963937 34.1170051107771,-118.288105692127 34.1169260214652)))"
99626,5588031029,5588-031-029,LOS ANGELES CA,2550 ABERDEEN AVE LOS ANGELES CA 90027,LOS ANGELES,34.11674461,-118.2882414,6474422.276000001,1864992.864,"34.116745, -118.288241",30895.960939999997,749.6163669,,"MULTIPOLYGON (((-118.288155846134 34.1165431031793,-118.28815857907 34.116578736978,-118.288087889029 34.1165824773798,-118.288085156127 34.116546844481,-118.288155846134 34.1165431031793)))",619536,Building,474456864926,9.23,699.62,279,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.288105692127 34.1169260214652,-118.287912098634 34.1168906802733,-118.287879833083 34.1168847946243,-118.287896860549 34.116619476715,-118.287890957965 34.1164882261683,-118.288001168612 34.116496563256,-118.288155926159 34.1165082558853,-118.288149780923 34.1165658105217,-118.288403247337 34.116584438354,-118.288654949265 34.1166182929622,-118.288612228529 34.1167463746903,-118.2885735579 34.1168753431778,-118.288538963937 34.1170051107771,-118.288105692127 34.1169260214652)))"
113537,5434020020,5434-020-020,LOS ANGELES CA,3232 ETTRICK ST LOS ANGELES CA 90027,LOS ANGELES,34.11278451,-118.27214950000001,6479289.0139999995,1863538.1409999998,"34.112785, -118.272150",7327.579102,366.2339263,,"MULTIPOLYGON (((-118.272019822814 34.1127332780414,-118.272164378843 34.1127191032298,-118.272172866593 34.1127789882626,-118.272221480724 34.1127742349714,-118.272232334472 34.1128507109875,-118.272169750235 34.1128568426362,-118.272168735319 34.1128497282222,-118.272142644746 34.1128522869286,-118.272143624898 34.1128590444142,-118.272074071288 34.1128658516293,-118.272068221956 34.1128246737657,-118.272062045728 34.1128252646509,-118.272057615957 34.11279397611,-118.272028817686 34.1127968167564,-118.272019822814 34.1127332780414)))",340857,Building,479314863528,15.73,519.34,2331,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.271947782674 34.1127242729337,-118.272351620972 34.1126834332731,-118.272350406114 34.1128483066602,-118.271946699072 34.1128891185371,-118.271947782674 34.1127242729337)))"
137139,5591022018,5591-022-018,LOS ANGELES CA,4232 RUSSELL AVE LOS ANGELES CA 90027,LOS ANGELES,34.10425526,-118.28199,6476301.665,1860442.41,"34.104255, -118.281990",8101.649414,390.0800017,,"MULTIPOLYGON (((-118.281983988983 34.1040746185236,-118.281984148457 34.1040855925098,-118.281967401508 34.1040857695235,-118.281967618594 34.1041012943128,-118.281937823481 34.1041016108542,-118.281937606587 34.1040861410579,-118.281904508259 34.1040864932456,-118.281904319327 34.1040748152308,-118.281983988983 34.1040746185236)))",519456,Building,476316860380,19.49,449.63,150,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.281889885951 34.104071727799,-118.282088050079 34.1040712358131,-118.282089299983 34.104442329367,-118.281891134972 34.1044428213517,-118.281889885951 34.104071727799)))"
