OBJECTID_x,AIN,APN,SitusCity,SitusFullAddress,TaxRateCity,CENTER_LAT,CENTER_LON,CENTER_X,CENTER_Y,LAT_LON,ShapeSTArea,ShapeSTLength,Shape,WKT,OBJECTID_y,CODE,BLD_ID,HEIGHT,ELEV,AREA,LARIAC_SOU,LARIAC_DAT,STATUS,CODE_NUM,coords,PARCEL_WKT
113089,5084009030,5084-009-030,LOS ANGELES CA,1025 N HIGHLAND AVE LOS ANGELES CA 90038,LOS ANGELES,34.05637146,-118.3405841,6458504.871,1843071.612,"34.056371, -118.340584",6794.680664,371.7838377,,"MULTIPOLYGON (((-118.340446646813 34.0563820819403,-118.340479915705 34.0562904564378,-118.340587455459 34.0563175219349,-118.34058516987 34.0563238760724,-118.340647764663 34.056339637726,-118.340632158117 34.0563826307637,-118.340707674116 34.0564016258002,-118.340697847342 34.0564286652456,-118.340728714327 34.0564364368241,-118.340718951983 34.0564633381549,-118.340614453467 34.0564370611515,-118.340613342776 34.0564401421167,-118.340518923638 34.0564163915466,-118.340524277027 34.0564015931188,-118.340446646813 34.0563820819403)))",472829,Building,458526843063,33.53,214.45,2583,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.340344438811 34.056381934003,-118.340394484208 34.0562509945808,-118.340822017037 34.0563641765058,-118.340776349575 34.0564836726375,-118.340771972132 34.05649508863,-118.340344438811 34.056381934003)))"
113089,5084009030,5084-009-030,LOS ANGELES CA,1025 N HIGHLAND AVE LOS ANGELES CA 90038,LOS ANGELES,34.05637146,-118.3405841,6458504.871,1843071.612,"34.056371, -118.340584",6794.680664,371.7838377,,"MULTIPOLYGON (((-118.340818962385 34.0563631571195,-118.340803905277 34.0564080589769,-118.340732591954 34.0563914709555,-118.340748359754 34.0563444674323,-118.340818962385 34.0563631571195)))",572886,Building,458450843070,18.34,200.72,389,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.340344438811 34.056381934003,-118.340394484208 34.0562509945808,-118.340822017037 34.0563641765058,-118.340776349575 34.0564836726375,-118.340771972132 34.05649508863,-118.340344438811 34.056381934003)))"
133256,5524012061,5524-012-061,LOS ANGELES CA,6621 MELROSE AVE LOS ANGELES CA 90038,LOS ANGELES,34.08369054,-118.33931489999999,6458922.892000001,1853012.1940000001,"34.083691, -118.339315",6582.869140999999,320.2304875,,"MULTIPOLYGON (((-118.339443889856 34.0837877402612,-118.339196768575 34.0837881846401,-118.339195646957 34.0835832259042,-118.33924189106 34.0835829400889,-118.339241547055 34.0835852129198,-118.339259842986 34.0835851615414,-118.339260052186 34.0835830450543,-118.33930413718 34.0835828392044,-118.339304130322 34.0835854221177,-118.339321237657 34.0835853740683,-118.33932135999 34.0835829449929,-118.339366105798 34.0835829752692,-118.339365853533 34.0835848917369,-118.33938144083 34.083584874995,-118.339381736451 34.0835826951576,-118.339426296349 34.0835825699685,-118.339426088877 34.0835843105114,-118.339443130119 34.0835842626305,-118.339443889856 34.0837877402612)))",529466,Building,458925852998,32.23,295.81,5573,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.339313245294 34.0838063087146,-118.339215458826 34.0838065569576,-118.339180987481 34.0837838194616,-118.339180851572 34.0835791870965,-118.339445049266 34.0835784970032,-118.339445509626 34.0838059631309,-118.339313245294 34.0838063087146)))"
713228,5084011002,5084-011-002,LOS ANGELES CA,1011 N MANSFIELD AVE LOS ANGELES CA 90038,LOS ANGELES,34.05675866,-118.34279699999999,6457835.078,1843214.8,"34.056759, -118.342797",4964.354492,313.1094682,,"MULTIPOLYGON (((-118.342866269194 34.0568601685602,-118.342884948521 34.0568102607646,-118.342959302389 34.0568401581285,-118.34293984842 34.0568905414402,-118.342866269194 34.0568601685602)))",530938,Building,457804843253,11.41,196.65,472,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.342623847478 34.0566309263046,-118.342624021062 34.0566309893541,-118.342977253982 34.0567568145658,-118.342966707538 34.056784414196,-118.34292730414 34.056887497202,-118.34292721228 34.0568877396185,-118.342647815167 34.0567728859085,-118.342647389387 34.0567727102289,-118.3426319143 34.0567022444352,-118.342623847478 34.0566309263046)))"
713228,5084011002,5084-011-002,LOS ANGELES CA,1011 N MANSFIELD AVE LOS ANGELES CA 90038,LOS ANGELES,34.05675866,-118.34279699999999,6457835.078,1843214.8,"34.056759, -118.342797",4964.354492,313.1094682,,"MULTIPOLYGON (((-118.342859225517 34.0568324492948,-118.342777623033 34.056802783402,-118.342775231939 34.0568074069379,-118.342744812539 34.0567963368043,-118.342739735478 34.0568060517057,-118.342678764793 34.0567821195401,-118.342704374122 34.0567313789264,-118.342721442674 34.0567377466988,-118.342750847084 34.0566816510191,-118.342787151304 34.0566948473913,-118.342778896038 34.0567105890466,-118.342785872237 34.0567131241897,-118.342777388172 34.0567293334883,-118.342813792181 34.0567425575168,-118.342820890647 34.0567410949145,-118.342825728653 34.056733312673,-118.342834264324 34.056736835974,-118.342830028424 34.0567432642075,-118.342839412901 34.0567509204296,-118.342880345275 34.0567656434534,-118.342867831618 34.0567897228601,-118.342879272603 34.0567938392321,-118.342861521822 34.0568263700508,-118.342870260438 34.0568297223835,-118.342865224337 34.0568388565869,-118.3428575031 34.0568358394403,-118.342859225517 34.0568324492948)))",584522,Building,457865843218,26.42,213.38,1646,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.342623847478 34.0566309263046,-118.342624021062 34.0566309893541,-118.342977253982 34.0567568145658,-118.342966707538 34.056784414196,-118.34292730414 34.056887497202,-118.34292721228 34.0568877396185,-118.342647815167 34.0567728859085,-118.342647389387 34.0567727102289,-118.3426319143 34.0567022444352,-118.342623847478 34.0566309263046)))"
715207,5084015001,5084-015-001,WEST HOLLYWOOD CA,1001 N LA BREA AVE WEST HOLLYWOOD CA 90038,LOS ANGELES,34.05702243,-118.34620749999999,6456802.408,1843314.331,"34.057022, -118.346207",5636.970703,338.40030160000003,,"MULTIPOLYGON (((-118.346426370375 34.0570978565082,-118.346339934951 34.0570965934475,-118.346339176456 34.0570360847342,-118.346424976599 34.0570348767129,-118.346426370375 34.0570978565082)))",538478,Building,456749843329,9.72,194.29,586,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.346084877468 34.0570891952753,-118.346024529505 34.0570479124348,-118.346006240552 34.0569912785699,-118.345984608176 34.0569354666569,-118.34614492708 34.0569545442098,-118.34641344653 34.056986468666,-118.346417664948 34.0570963431644,-118.346162637804 34.0570908674614,-118.346084877468 34.0570891952753)))"
715207,5084015001,5084-015-001,WEST HOLLYWOOD CA,1001 N LA BREA AVE WEST HOLLYWOOD CA 90038,LOS ANGELES,34.05702243,-118.34620749999999,6456802.408,1843314.331,"34.057022, -118.346207",5636.970703,338.40030160000003,,"MULTIPOLYGON (((-118.34632741333 34.0569780092629,-118.346326566584 34.0569806955544,-118.34642483891 34.0569911608757,-118.346426430126 34.057030148511,-118.346426455377 34.0570307533671,-118.346409544663 34.0570314581902,-118.346341104514 34.0570313804154,-118.346224607061 34.0570183591408,-118.346231425101 34.0569666799564,-118.346163083948 34.0569585772528,-118.346163046654 34.0569584646681,-118.34632741333 34.0569780092629)))",596448,Building,456779843305,10.05,192.89,1062,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.346084877468 34.0570891952753,-118.346024529505 34.0570479124348,-118.346006240552 34.0569912785699,-118.345984608176 34.0569354666569,-118.34614492708 34.0569545442098,-118.34641344653 34.056986468666,-118.346417664948 34.0570963431644,-118.346162637804 34.0570908674614,-118.346084877468 34.0570891952753)))"
801689,5523006026,5523-006-026,LOS ANGELES CA,5870 MELROSE AVE LOS ANGELES CA 90038,LOS ANGELES,34.08322103,-118.32847050000001,6462205.956,1852830.4209999999,"34.083221, -118.328471",13201.3916,456.30611889999994,,"MULTIPOLYGON (((-118.328296094473 34.0833663278921,-118.328296085881 34.0833657951093,-118.328266747063 34.0833661633251,-118.32827700593 34.0832149474012,-118.328311322465 34.0830641871855,-118.328704973278 34.0831122494061,-118.328701193781 34.0831336927442,-118.328720413568 34.0831360529513,-118.328712431783 34.0831788812775,-118.328709030537 34.0831782973232,-118.328706446545 34.0831929506653,-118.328497827032 34.083193353141,-118.328441675028 34.0832415106648,-118.328443358522 34.0833656003536,-118.3284433997 34.0833686366061,-118.328427115455 34.0833688539718,-118.328427395805 34.0833872697335,-118.328296352633 34.0833884832747,-118.328296094473 34.0833663278921)))",493898,Building,462236852820,16.68,292.19,8514,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.328248597633 34.0832753161288,-118.328249952658 34.0832671513098,-118.328255901364 34.0832345455484,-118.328258423933 34.0832209367957,-118.328271033209 34.0831519862501,-118.328273214274 34.0831439290909,-118.328292419264 34.0830726248707,-118.328296032277 34.0830591780127,-118.328714360062 34.0831101624806,-118.328711077467 34.0831236359272,-118.328698218106 34.0831845239745,-118.3286887372 34.0832458390117,-118.328687172736 34.0832595275917,-118.328685992481 34.0832701375272,-118.328683707624 34.0832938027802,-118.328682482685 34.0833098535857,-118.328680873198 34.0833189104397,-118.328677476935 34.0833276201066,-118.328672389948 34.083335738452,-118.32866575378 34.0833430418258,-118.328657751326 34.0833493253567,-118.328648604835 34.0833544184139,-118.328638569675 34.0833581743198,-118.328627926163 34.0833604926989,-118.328616965075 34.0833613074952,-118.328244054416 34.0833631498897,-118.328248597633 34.0832753161288)))"
801826,5523001017,5523-001-017,LOS ANGELES CA,6100 MELROSE AVE LOS ANGELES CA 90038,LOS ANGELES,34.08320407,-118.33343959999999,6460701.306,1852829.201,"34.083204, -118.333440",15342.31543,488.3625693,,"MULTIPOLYGON (((-118.333595655367 34.0830421711133,-118.333595624495 34.0830485567604,-118.333517056585 34.0830483066975,-118.333517080185 34.0830425413255,-118.333595655367 34.0830421711133)))",492497,Building,460664852770,14.81,292.29,53,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.333228569079 34.0833192756875,-118.333227012841 34.0830445496046,-118.333226996429 34.0830404278698,-118.333646403993 34.0830384411482,-118.333646420426 34.083042562883,-118.333646563 34.0830700410234,-118.33364742972 34.0832211705671,-118.333648296443 34.0833723001118,-118.333294935758 34.0833739390099,-118.333284598507 34.0833733115962,-118.333274509804 34.0833713456319,-118.3332649134 34.0833680885293,-118.333256046986 34.0833636220658,-118.333248131852 34.0833580555428,-118.333241362566 34.0833515258142,-118.333235904899 34.0833441955748,-118.333231893733 34.0833362447791,-118.333229428919 34.0833278689353,-118.333228569079 34.0833192756875)))"
801826,5523001017,5523-001-017,LOS ANGELES CA,6100 MELROSE AVE LOS ANGELES CA 90038,LOS ANGELES,34.08320407,-118.33343959999999,6460701.306,1852829.201,"34.083204, -118.333440",15342.31543,488.3625693,,"MULTIPOLYGON (((-118.333300184539 34.0831944794529,-118.333300069964 34.0831159733294,-118.333326457528 34.0831159555182,-118.333326449641 34.0831139766739,-118.33365871425 34.083113636426,-118.333659086885 34.0833642968766,-118.333328835497 34.0833646315679,-118.333328849405 34.0833681213658,-118.333277098133 34.083368182106,-118.333276903121 34.0832363117304,-118.333284932805 34.0832291999187,-118.333291504049 34.0832207181931,-118.333295567019 34.0832125183549,-118.333298374001 34.0832042669882,-118.333300184539 34.0831944794529)))",492744,Building,460692852827,24.64,301.08,10287,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.333228569079 34.0833192756875,-118.333227012841 34.0830445496046,-118.333226996429 34.0830404278698,-118.333646403993 34.0830384411482,-118.333646420426 34.083042562883,-118.333646563 34.0830700410234,-118.33364742972 34.0832211705671,-118.333648296443 34.0833723001118,-118.333294935758 34.0833739390099,-118.333284598507 34.0833733115962,-118.333274509804 34.0833713456319,-118.3332649134 34.0833680885293,-118.333256046986 34.0833636220658,-118.333248131852 34.0833580555428,-118.333241362566 34.0833515258142,-118.333235904899 34.0833441955748,-118.333231893733 34.0833362447791,-118.333229428919 34.0833278689353,-118.333228569079 34.0833192756875)))"
