OBJECTID_x,AIN,APN,SitusCity,SitusFullAddress,TaxRateCity,CENTER_LAT,CENTER_LON,CENTER_X,CENTER_Y,LAT_LON,ShapeSTArea,ShapeSTLength,Shape,WKT,OBJECTID_y,CODE,BLD_ID,HEIGHT,ELEV,AREA,LARIAC_SOU,LARIAC_DAT,STATUS,CODE_NUM,coords,PARCEL_WKT
14971,4237027036,4237-027-036,LOS ANGELES CA,3216 WASHINGTON BLVD LOS ANGELES CA 90292,LOS ANGELES,33.99032304,-118.44873659999999,6425638.747,1819164.131,"33.990323, -118.448737",5806.800781,332.2648023,,"MULTIPOLYGON (((-118.448743665647 33.9903454417135,-118.448757698046 33.9903642425583,-118.448731354747 33.9903778848274,-118.448705444363 33.9903846360975,-118.448686846522 33.990384348179,-118.448679011219 33.9903747473475,-118.448668434699 33.9903802210082,-118.448614875332 33.9903084588576,-118.448599022612 33.9902872163662,-118.448616727654 33.9902780495701,-118.448625965489 33.9902732668519,-118.448601277431 33.9902402191765,-118.448682238672 33.9901982880812,-118.448687920325 33.9902058785998,-118.448682624132 33.9902086182174,-118.448773301411 33.9903300943817,-118.448743665647 33.9903454417135)))",322589,Building,2014073373930000,13.27,27.12,2044,LARIAC4,2014,Modified,1,,"MULTIPOLYGON (((-118.44861763762 33.9902953603847,-118.448564826565 33.9902220240763,-118.448706264406 33.9901513426926,-118.448759079654 33.9902246772056,-118.448903350875 33.9904249831215,-118.448761879752 33.990495664862,-118.44861763762 33.9902953603847)))"
16347,4237027034,4237-027-034,LOS ANGELES CA,3240 WASHINGTON BLVD LOS ANGELES CA 90292,LOS ANGELES,33.99051848,-118.4483469,6425757.195,1819234.726,"33.990518, -118.448347",14474.70215,469.19250830000004,,"MULTIPOLYGON (((-118.448491395394 33.9903722293643,-118.448617288639 33.9905465700272,-118.448540935556 33.9905840655363,-118.448454346885 33.9904621070071,-118.448416670051 33.9904090416631,-118.448491395394 33.9903722293643)))",322658,Building,2014073374740000,14.25,28.29,1968,LARIAC4,2014,Modified,1,,"MULTIPOLYGON (((-118.44828354578 33.9903656611445,-118.44842501694 33.9902949524861,-118.448476199315 33.9903660141884,-118.448620408243 33.9905663189599,-118.448478969485 33.9906369727704,-118.448297194537 33.9907277814574,-118.448250633982 33.99071902447,-118.448215664818 33.9906756008944,-118.448164435285 33.9906115188833,-118.448113472678 33.9905472160249,-118.448096764004 33.9905260045325,-118.448093810051 33.9905222560945,-118.448092757674 33.9905205511766,-118.448092104273 33.9905194286971,-118.448091993991 33.9905192401911,-118.448091550773 33.9905184810227,-118.448090211245 33.9905158995696,-118.448089628939 33.9905145776034,-118.448088465103 33.9905116932279,-118.448087782809 33.9905097945786,-118.448087414988 33.9905084838347,-118.448087036656 33.9905071353467,-118.44808580834 33.9905002908227,-118.448085675009 33.9904984914552,-118.448085571933 33.9904965666027,-118.448085598755 33.9904946429833,-118.448085643427 33.9904933581806,-118.448085654061 33.9904930335471,-118.448085664741 33.9904927175005,-118.448085723167 33.9904920766821,-118.448085842088 33.9904907967549,-118.448086075368 33.9904889256063,-118.448086397174 33.9904870300836,-118.448086443446 33.9904868152326,-118.448086548056 33.9904863288105,-118.448086727113 33.9904854986253,-118.448086805573 33.9904851342381,-118.448087265634 33.9904832605266,-118.448088291599 33.9904800279374,-118.448088397376 33.9904797596244,-118.448088818449 33.9904786915319,-118.448089194743 33.9904777318043,-118.448089925837 33.9904760339776,-118.448093053458 33.9904702363036,-118.448096966382 33.9904647809051,-118.448097124161 33.9904645982695,-118.448097917191 33.9904636867938,-118.4480989049 33.9904625530442,-118.448100325649 33.9904610467158,-118.448101789897 33.9904595780086,-118.448104921159 33.9904567737978,-118.448106621179 33.9904554416058,-118.448108087273 33.9904543180948,-118.448111427555 33.9904520455071,-118.448112590727 33.9904513370254,-118.448113751847 33.9904506302688,-118.44811567187 33.9904495703276,-118.448116648417 33.9904490480238,-118.448117629078 33.9904485239872,-118.44814210693 33.9904362870806,-118.44828354578 33.9903656611445)))"
16348,4237027035,4237-027-035,LOS ANGELES CA,3130 WASHINGTON BLVD LOS ANGELES CA 90292,LOS ANGELES,33.99002621,-118.4493307,6425458.167,1819056.9130000002,"33.990026, -118.449331",17424.49219,532.3269383,,"MULTIPOLYGON (((-118.449176161775 33.9900290223536,-118.449187128882 33.9900441768713,-118.449218252105 33.9900285357133,-118.449237362004 33.9900548993272,-118.449206238776 33.9900705404902,-118.449212054866 33.9900785704319,-118.449243803112 33.9900626240254,-118.449264741729 33.9900915366736,-118.449303794163 33.9900719082423,-118.449366042906 33.9901578224526,-118.449222894877 33.9902298001262,-118.449057153504 33.9900011066505,-118.44945224788 33.98980244791,-118.449617790554 33.9900308945629,-118.449543404427 33.9900682959309,-118.449529146433 33.9900485919468,-118.44949930562 33.9900635964335,-118.449483254154 33.9900414532653,-118.449512962136 33.9900265042708,-118.449424357814 33.9899042239865,-118.449176161775 33.9900290223536)))",278877,Building,425482819024,31.27,45.59,8732,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.449070312998 33.9900692228646,-118.449017466347 33.989995831931,-118.449158903428 33.9899251500215,-118.449300340272 33.9898544679478,-118.449441776877 33.9897837857097,-118.449494687974 33.9898572311729,-118.449638931442 33.9900575345895,-118.449497461407 33.9901281897065,-118.449355991282 33.9901988721373,-118.449214553759 33.9902695268022,-118.449070312998 33.9900692228646)))"
16791,4237027033,4237-027-033,LOS ANGELES CA,3206 WASHINGTON BLVD LOS ANGELES CA 90292,LOS ANGELES,33.99020996,-118.4489629,6425569.956,1819123.283,"33.990210, -118.448963",12775.94336,452.29112180000004,,"MULTIPOLYGON (((-118.449107086023 33.9901894530401,-118.448957722127 33.990265081301,-118.448841606953 33.9901059986806,-118.448990312249 33.9900307029752,-118.449107086023 33.9901894530401)))",322502,Building,2014073372890000,9.37,24.39,3582,LARIAC4,2014,Modified,1,,"MULTIPOLYGON (((-118.448759079654 33.9902246772056,-118.448706264406 33.9901513426926,-118.448791113772 33.9901089283371,-118.448876029028 33.9900665136762,-118.449017466347 33.989995831931,-118.449070312998 33.9900692228646,-118.449214553759 33.9902695268022,-118.44907308301 33.990340181426,-118.448988200565 33.9903825961041,-118.448903350875 33.9904249831215,-118.448759079654 33.9902246772056)))"
18025,4228016005,4228-016-005,LOS ANGELES CA,545 WASHINGTON BLVD LOS ANGELES CA 90292,LOS ANGELES,33.98369706,-118.45991770000002,6422238.331,1816768.1409999998,"33.983697, -118.459918",6099.011719,341.6352767,,"MULTIPOLYGON (((-118.459999058649 33.9838630360218,-118.459794010952 33.9836399749669,-118.459897127271 33.9835741829736,-118.460028704577 33.9837173677638,-118.460021571816 33.9837219287675,-118.460052134603 33.9837551716773,-118.460062488876 33.9837485924774,-118.46010536304 33.9837952248833,-118.459999058649 33.9838630360218)))",152927,Building,422238816769,20.82,29.16,4010,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.459728414706 33.9836096585232,-118.459862821215 33.9835236852957,-118.460101268688 33.9837869544194,-118.459969556068 33.98387096661,-118.459728414706 33.9836096585232)))"
18026,4228016014,4228-016-014,LOS ANGELES CA,601 WASHINGTON BLVD LOS ANGELES CA 90292,LOS ANGELES,33.9846563,-118.45841229999999,6422696.315,1817115.14,"33.984656, -118.458412",6001.328125,340.0235786,,"MULTIPOLYGON (((-118.458393492861 33.9845332533233,-118.458597433574 33.9847534631131,-118.458503225282 33.9848139993645,-118.458501831621 33.9848124657429,-118.458488387688 33.984821090407,-118.458448037299 33.9847775518148,-118.458461285022 33.9847690658353,-118.458430225337 33.9847355494415,-118.458423684583 33.9847397510942,-118.458405466826 33.9847200911528,-118.458412041129 33.9847158893737,-118.458349924033 33.9846488574464,-118.458342889429 33.9846533900302,-118.458324705407 33.9846337569947,-118.458332692291 33.9846286158661,-118.458300008429 33.9845933476191,-118.458393492861 33.9845332533233)))",153604,Building,422703817101,18.69,28.27,3801,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.458223931631 33.9845673516811,-118.458354990384 33.9844838934587,-118.458595374931 33.984745866687,-118.458464316008 33.9848293251727,-118.458223931631 33.9845673516811)))"
18027,4228016016,4228-016-016,LOS ANGELES CA,611 WASHINGTON BLVD LOS ANGELES CA 90292,LOS ANGELES,33.98482318,-118.4581502,6422776.039,1817175.509,"33.984823, -118.458150",6000.207031,340.0095702,,"MULTIPOLYGON (((-118.458131633385 33.9846997521773,-118.458335511111 33.984920567579,-118.458241005914 33.9849811047527,-118.458239181291 33.9849791328166,-118.458225374729 33.9849879508549,-118.458185820342 33.9849450970217,-118.458199559803 33.9849362792427,-118.4581679029 33.9849019960413,-118.458161000781 33.9849064190258,-118.458143412804 33.9848873327332,-118.45814992127 33.9848831591659,-118.458087138694 33.9848151397462,-118.458080432791 33.9848194249482,-118.458062977931 33.9848005301653,-118.458070012863 33.9847960525902,-118.45803706258 33.984760345335,-118.458131633385 33.9846997521773)))",223422,Building,422780817166,18.43,28.05,3820,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.457961879015 33.9847342124961,-118.458092905453 33.9846507821588,-118.458333289661 33.9849127559139,-118.458202263204 33.9849962139927,-118.457961879015 33.9847342124961)))"
18037,4229005082,4229-005-082,LOS ANGELES CA,3124 STANFORD AVE LOS ANGELES CA 90292,LOS ANGELES,33.98803927,-118.4470725,6426139.488,1818330.7780000002,"33.988039, -118.447072",4015.897461,282.02085330000006,,"MULTIPOLYGON (((-118.447212073269 33.9880263539619,-118.447073464533 33.9880953994062,-118.447040561993 33.9880495494352,-118.447052438666 33.9880436256379,-118.447036551654 33.9880214815418,-118.447150518503 33.9879646999524,-118.447176442389 33.988000793221,-118.447189175069 33.9879944533359,-118.447212073269 33.9880263539619)))",191966,Building,426127818323,14.61,29.53,1303,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.446887261208 33.9880674185947,-118.447172961309 33.9879245927344,-118.447252828832 33.9880120630158,-118.44696709573 33.9881549166678,-118.446887261208 33.9880674185947)))"
18037,4229005082,4229-005-082,LOS ANGELES CA,3124 STANFORD AVE LOS ANGELES CA 90292,LOS ANGELES,33.98803927,-118.4470725,6426139.488,1818330.7780000002,"33.988039, -118.447072",4015.897461,282.02085330000006,,"MULTIPOLYGON (((-118.446984838025 33.9881570635213,-118.446951475196 33.9881139874447,-118.447011375945 33.9880821379842,-118.447045725522 33.9881263724645,-118.446984838025 33.9881570635213)))",217488,Building,426166818360,11.1,27.05,408,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.446887261208 33.9880674185947,-118.447172961309 33.9879245927344,-118.447252828832 33.9880120630158,-118.44696709573 33.9881549166678,-118.446887261208 33.9880674185947)))"
18038,4229005086,4229-005-086,LOS ANGELES CA,3140 STANFORD AVE LOS ANGELES CA 90292,LOS ANGELES,33.98767892,-118.4467433,6426238.7129999995,1818199.199,"33.987679, -118.446743",5004.831055,301.74242339999995,,"MULTIPOLYGON (((-118.446884942749 33.987694550457,-118.446774340869 33.9877511273101,-118.446750382179 33.9877185985541,-118.446740710213 33.9877235251779,-118.446722866317 33.9876993003361,-118.446698653689 33.9877116724539,-118.446665292611 33.9876664290092,-118.446716711643 33.9876401059334,-118.446735950927 33.9876662224352,-118.446748518644 33.9876598002664,-118.446729345674 33.9876337394161,-118.446770534019 33.9876127029164,-118.446788510974 33.9876371201864,-118.446827790871 33.9876170247214,-118.446884942749 33.987694550457)))",154408,Building,426234818199,21.69,37.87,1786,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.44654794996 33.9876955718612,-118.446834612286 33.987553924822,-118.446933624801 33.9876624004162,-118.446648024144 33.9878052253372,-118.44654794996 33.9876955718612)))"
