OBJECTID_x,AIN,APN,SitusCity,SitusFullAddress,TaxRateCity,CENTER_LAT,CENTER_LON,CENTER_X,CENTER_Y,LAT_LON,ShapeSTArea,ShapeSTLength,Shape,WKT,OBJECTID_y,CODE,BLD_ID,HEIGHT,ELEV,AREA,LARIAC_SOU,LARIAC_DAT,STATUS,CODE_NUM,coords,PARCEL_WKT
719975,8104005026,8104-005-026,EL MONTE CA,2802 WASHINGTON AVE EL MONTE CA 91733,EL MONTE   ,34.06194971,-118.03772109999998,6550241.807,1844929.0159999998,"34.061950, -118.037721",7325.637695,396.731585,,"MULTIPOLYGON (((-118.159536891743 34.0971828564452,-118.159613686027 34.0971813261006,-118.159615276491 34.0972361992387,-118.159538516886 34.0972377565843,-118.159536891743 34.0971828564452)))",388032,Building,513359857794,18.63,562.56,465,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.03747900595 34.0619887996104,-118.037466117309 34.061888726955,-118.037958457988 34.0618767627625,-118.037974829792 34.0620114571531,-118.037483148675 34.0620234486952,-118.03747900595 34.0619887996104)))"
1024513,8581024016,8581-024-016,EL MONTE CA,10117 GARVEY AVE EL MONTE CA 91733,EL MONTE   ,34.06329039,-118.0482648,6547048.592999999,1845418.284,"34.063290, -118.048265",56389.48632999999,1159.683633,,"MULTIPOLYGON (((-118.252177796126 34.1158668974653,-118.251919234343 34.1156470580187,-118.252021830664 34.1155635830926,-118.252050303464 34.1155877920641,-118.252034587216 34.1156005797204,-118.252071270107 34.1156317683579,-118.252085979695 34.1156198004865,-118.252112742052 34.1156425543317,-118.252098762323 34.1156539292787,-118.252135999483 34.1156855891436,-118.252149832163 34.1156743353043,-118.25217773343 34.115698058611,-118.252162887602 34.1157101376665,-118.252202704665 34.1157439918669,-118.252216807665 34.1157325183836,-118.252241564026 34.1157535670815,-118.252226718197 34.1157656461447,-118.25226364792 34.1157970460693,-118.252177796126 34.1158668974653)))",468962,Building,2014092967670000,41.1,447.63,4404,LARIAC4,2014,New,1,,"MULTIPOLYGON (((-118.048230385156 34.0638789725736,-118.048144876773 34.063873391589,-118.048059206606 34.0638699401859,-118.047985345404 34.0638683200603,-118.047982761987 34.063395691816,-118.047979883211 34.06286879377,-118.048640226379 34.0628687015617,-118.048643367962 34.0634427799671,-118.048478130947 34.0634118214783,-118.048312861021 34.0633808352976,-118.048315653345 34.0638866848881,-118.048230385156 34.0638789725736)))"
1024513,8581024016,8581-024-016,EL MONTE CA,10117 GARVEY AVE EL MONTE CA 91733,EL MONTE   ,34.06329039,-118.0482648,6547048.592999999,1845418.284,"34.063290, -118.048265",56389.48632999999,1159.683633,,"MULTIPOLYGON (((-118.578084708416 34.2787309790246,-118.578083736905 34.2787586421634,-118.578093023155 34.2787588673919,-118.578091776735 34.2787943482387,-118.578099069735 34.2787945243823,-118.5780974107 34.2788417741653,-118.578091691652 34.2788416355846,-118.578095730252 34.2789085064389,-118.578035065939 34.2789070380317,-118.578035327189 34.2788995990379,-118.578010581116 34.2788990135086,-118.577881547969 34.2789008523192,-118.577881813752 34.2788932816787,-118.577848513998 34.2788924759403,-118.577847324182 34.2788177435344,-118.577865136323 34.2788181751169,-118.57786274396 34.2787504606673,-118.57800644512 34.2787469728036,-118.578006958713 34.2787323761408,-118.578084708416 34.2787309790246)))",1115099,Building,201414618270000,41.1,1312.88,4140,LARIAC4,2014,New,1,,"MULTIPOLYGON (((-118.048230385156 34.0638789725736,-118.048144876773 34.063873391589,-118.048059206606 34.0638699401859,-118.047985345404 34.0638683200603,-118.047982761987 34.063395691816,-118.047979883211 34.06286879377,-118.048640226379 34.0628687015617,-118.048643367962 34.0634427799671,-118.048478130947 34.0634118214783,-118.048312861021 34.0633808352976,-118.048315653345 34.0638866848881,-118.048230385156 34.0638789725736)))"
