OBJECTID_x,AIN,APN,SitusCity,SitusFullAddress,TaxRateCity,CENTER_LAT,CENTER_LON,CENTER_X,CENTER_Y,LAT_LON,ShapeSTArea,ShapeSTLength,Shape,WKT,OBJECTID_y,CODE,BLD_ID,HEIGHT,ELEV,AREA,LARIAC_SOU,LARIAC_DAT,STATUS,CODE_NUM,coords,PARCEL_WKT
5539,7350015060,7350-015-060,TORRANCE CA,1135 W 204TH ST TORRANCE CA 90502,unincorporated,33.84600421,-118.29645559999999,6471645.429,1766472.3169999998,"33.846004, -118.296456",10971.08105,536.7966522,,"MULTIPOLYGON (((-118.383242829963 34.1627371216927,-118.383218991857 34.1628352684637,-118.38309352905 34.1628142117943,-118.383117367297 34.1627160650481,-118.383242829963 34.1627371216927)))",934782,Building,2014112850470000,24.39,645.54,1411,LARIAC4,2014,Replacement,1,,"MULTIPOLYGON (((-118.296374271061 33.84623710693,-118.29637105825 33.8459807328045,-118.296369558814 33.8457060125071,-118.296534244581 33.8457046994327,-118.296537421141 33.8459791751505,-118.296537424367 33.8459795048855,-118.296538962536 33.8462371128045,-118.296538907048 33.8463051224353,-118.296374250705 33.8463057759604,-118.296374271061 33.84623710693)))"
5539,7350015060,7350-015-060,TORRANCE CA,1135 W 204TH ST TORRANCE CA 90502,unincorporated,33.84600421,-118.29645559999999,6471645.429,1766472.3169999998,"33.846004, -118.296456",10971.08105,536.7966522,,"MULTIPOLYGON (((-118.425511880896 34.312974715528,-118.425623365415 34.3130616954759,-118.42557103971 34.313107873046,-118.425459555183 34.31302089305,-118.425511880896 34.312974715528)))",1114512,Building,201414607940000,24.39,1385.86,1066,LARIAC4,2014,New,1,,"MULTIPOLYGON (((-118.296374271061 33.84623710693,-118.29637105825 33.8459807328045,-118.296369558814 33.8457060125071,-118.296534244581 33.8457046994327,-118.296537421141 33.8459791751505,-118.296537424367 33.8459795048855,-118.296538962536 33.8462371128045,-118.296538907048 33.8463051224353,-118.296374250705 33.8463057759604,-118.296374271061 33.84623710693)))"
5539,7350015060,7350-015-060,TORRANCE CA,1135 W 204TH ST TORRANCE CA 90502,unincorporated,33.84600421,-118.29645559999999,6471645.429,1766472.3169999998,"33.846004, -118.296456",10971.08105,536.7966522,,"MULTIPOLYGON (((-118.42519745971 34.3126414023604,-118.425251976926 34.3126862472944,-118.425149632552 34.3127776176303,-118.425093432406 34.3127342742065,-118.42519745971 34.3126414023604)))",1114524,Building,201414608060000,24.39,1385.07,1060,LARIAC4,2014,New,1,,"MULTIPOLYGON (((-118.296374271061 33.84623710693,-118.29637105825 33.8459807328045,-118.296369558814 33.8457060125071,-118.296534244581 33.8457046994327,-118.296537421141 33.8459791751505,-118.296537424367 33.8459795048855,-118.296538962536 33.8462371128045,-118.296538907048 33.8463051224353,-118.296374250705 33.8463057759604,-118.296374271061 33.84623710693)))"
5539,7350015060,7350-015-060,TORRANCE CA,1135 W 204TH ST TORRANCE CA 90502,unincorporated,33.84600421,-118.29645559999999,6471645.429,1766472.3169999998,"33.846004, -118.296456",10971.08105,536.7966522,,"MULTIPOLYGON (((-118.425260348799 34.3126906020815,-118.4253134534 34.3127319900434,-118.425212763066 34.3128253551367,-118.425157042541 34.3127840367149,-118.425260348799 34.3126906020815)))",1114525,Building,201414608070000,24.39,1385.07,1022,LARIAC4,2014,New,1,,"MULTIPOLYGON (((-118.296374271061 33.84623710693,-118.29637105825 33.8459807328045,-118.296369558814 33.8457060125071,-118.296534244581 33.8457046994327,-118.296537421141 33.8459791751505,-118.296537424367 33.8459795048855,-118.296538962536 33.8462371128045,-118.296538907048 33.8463051224353,-118.296374250705 33.8463057759604,-118.296374271061 33.84623710693)))"
5539,7350015060,7350-015-060,TORRANCE CA,1135 W 204TH ST TORRANCE CA 90502,unincorporated,33.84600421,-118.29645559999999,6471645.429,1766472.3169999998,"33.846004, -118.296456",10971.08105,536.7966522,,"MULTIPOLYGON (((-118.579721637608 34.2806781528319,-118.579754121701 34.2807426245713,-118.579740839466 34.280747235556,-118.5797573563 34.2807800177973,-118.579667675427 34.2808111528599,-118.579636679176 34.2807496328466,-118.579673446677 34.2807368685691,-118.579654139279 34.2806985479601,-118.57967917172 34.2806898580414,-118.579680474517 34.280692443747,-118.579721637608 34.2806781528319)))",1115135,Building,201414619230000,24.39,1338.36,1076,LARIAC4,2014,New,1,,"MULTIPOLYGON (((-118.296374271061 33.84623710693,-118.29637105825 33.8459807328045,-118.296369558814 33.8457060125071,-118.296534244581 33.8457046994327,-118.296537421141 33.8459791751505,-118.296537424367 33.8459795048855,-118.296538962536 33.8462371128045,-118.296538907048 33.8463051224353,-118.296374250705 33.8463057759604,-118.296374271061 33.84623710693)))"
5539,7350015060,7350-015-060,TORRANCE CA,1135 W 204TH ST TORRANCE CA 90502,unincorporated,33.84600421,-118.29645559999999,6471645.429,1766472.3169999998,"33.846004, -118.296456",10971.08105,536.7966522,,"MULTIPOLYGON (((-118.579054456486 34.2805325099365,-118.579054929681 34.2805604745033,-118.579049948239 34.2805605325831,-118.579050986736 34.2806219093131,-118.579014483283 34.2806223344946,-118.579015059568 34.2806563921117,-118.57893870452 34.2806572818897,-118.578937590364 34.280591406811,-118.57896175911 34.2805911253733,-118.578960645175 34.2805252845523,-118.579014750319 34.2805246535144,-118.579014891662 34.2805329704933,-118.579054456486 34.2805325099365)))",1115159,Building,201414619480000,24.39,1339.1,1307,LARIAC4,2014,New,1,,"MULTIPOLYGON (((-118.296374271061 33.84623710693,-118.29637105825 33.8459807328045,-118.296369558814 33.8457060125071,-118.296534244581 33.8457046994327,-118.296537421141 33.8459791751505,-118.296537424367 33.8459795048855,-118.296538962536 33.8462371128045,-118.296538907048 33.8463051224353,-118.296374250705 33.8463057759604,-118.296374271061 33.84623710693)))"
20199,7351033009,7351-033-009,LOS ANGELES CA,19500 S VERMONT AVE LOS ANGELES CA 90502,LOS ANGELES,33.85319571,-118.2893104,6473822.646000001,1769083.1519999998,"33.853196, -118.289310",436211.9307,2645.430259,,"MULTIPOLYGON (((-118.289511891555 33.8524476214413,-118.289511862158 33.8524391057825,-118.28954501444 33.8524390261117,-118.289545043924 33.8524475661112,-118.289937371398 33.8524468948435,-118.289937555514 33.8525192167985,-118.290009516819 33.8525190985895,-118.290009631638 33.8525713628599,-118.289936484964 33.8525714839217,-118.289939537262 33.8538162976528,-118.290011861658 33.8538161785712,-118.29001198351 33.8538704757533,-118.289940284695 33.8538705933293,-118.289940458559 33.8539399484273,-118.28962952182 33.8539404763425,-118.289629605327 33.8539646566343,-118.28953350144 33.8539648055892,-118.289533417008 33.8539403494354,-118.2886765208 33.8539418016452,-118.288676537043 33.8539371028992,-118.288657995022 33.8539371193786,-118.288657092022 33.8535696000706,-118.288518602657 33.8535698218146,-118.28851678809 33.8528221962835,-118.288675432192 33.8528219262479,-118.288674510684 33.8524490484118,-118.289511891555 33.8524476214413)))",59677,Building,473803769063,31.98,68.13,223209,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.288274297908 33.8541563331727,-118.288273041563 33.8532369842588,-118.28827167621 33.8522477301192,-118.290350041046 33.8522465725881,-118.290351397953 33.8532358541436,-118.290352613626 33.8541084619599,-118.290319741315 33.85413596505,-118.289381068866 33.8541364984011,-118.289381069502 33.8541557334284,-118.288274297908 33.8541563331727)))"
20200,7351033015,7351-033-015,LOS ANGELES CA,19701 HAMILTON AVE LOS ANGELES CA 90502,LOS ANGELES,33.85175249,-118.2872328,6474451.976,1768556.121,"33.851752, -118.287233",227195.12300000002,1982.16425,,"MULTIPOLYGON (((-118.287803527939 33.8514668948401,-118.287882559581 33.8514668908275,-118.287882610501 33.852057453675,-118.286880850866 33.8520574803673,-118.286880831422 33.8518496347984,-118.286933427629 33.8518496465744,-118.286933407792 33.8517958440958,-118.286895401856 33.8517958525687,-118.286895397008 33.8517271569965,-118.28693307444 33.8517271493057,-118.286933064285 33.851676176666,-118.286881357441 33.8516761627724,-118.286881366792 33.8514669432319,-118.287669947898 33.8514669010476,-118.287670217417 33.8514034065733,-118.287802823068 33.8514034964507,-118.287803527939 33.8514668948401)))",55091,Building,474424768563,31.34,61.79,65574,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.287116879002 33.8522483519512,-118.286193245356 33.8522488244735,-118.286192036161 33.8512595699845,-118.287117470232 33.8512590725868,-118.28827027786 33.8512584486864,-118.28827167621 33.8522477301192,-118.287116879002 33.8522483519512)))"
20201,7351033022,7351-033-022,LOS ANGELES CA,20221 HAMILTON AVE LOS ANGELES CA 90502,LOS ANGELES,33.84666883,-118.28722450000001,6474449.204,1766706.05,"33.846669, -118.287225",146102.5723,1716.2614429999999,,"MULTIPOLYGON (((-118.286719753804 33.8466195550952,-118.287601898197 33.8466176443593,-118.287602979942 33.846961779426,-118.28672119397 33.8469637163538,-118.286720861163 33.8468568820475,-118.286650327055 33.8467142452026,-118.286720669001 33.8466657159627,-118.286719753804 33.8466195550952)))",54016,Building,474493766753,29.05,62.14,34275,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.287119743355 33.846987233782,-118.286186872637 33.8469853959401,-118.286186823575 33.846412439917,-118.286186836884 33.8464036913886,-118.286186844057 33.8463991677083,-118.286188976618 33.8463968269486,-118.286190084356 33.846393334529,-118.286191179935 33.8463904999071,-118.286191422708 33.8463898690386,-118.286192893256 33.8463865406264,-118.28619462735 33.8463832390649,-118.286196559408 33.8463800469463,-118.286197968227 33.8463779277391,-118.286200230069 33.8463748722279,-118.286202656945 33.8463719262379,-118.286205347554 33.8463690620554,-118.286208104496 33.8463663351079,-118.286211092522 33.8463637724813,-118.286213161379 33.8463620638805,-118.286216380582 33.8463596930533,-118.286219764913 33.8463574592257,-118.286223281533 33.8463553899543,-118.286226930348 33.846353457761,-118.286230711548 33.8463517176022,-118.286234559079 33.8463501146784,-118.286237190214 33.8463491191811,-118.286241236368 33.8463478180483,-118.286245283086 33.8463466817857,-118.286249429256 33.846345737636,-118.286252259577 33.8463452088,-118.28625646973 33.8463437149259,-118.286260752136 33.8463440894237,-118.286265065219 33.8463438043621,-118.286269346122 33.8463437392058,-118.287028131373 33.8463452264415,-118.287037220552 33.8463452322076,-118.287120052903 33.846347864598,-118.287185462532 33.8463499615243,-118.287475583405 33.8463572915043,-118.287765821506 33.8463603888017,-118.287794867538 33.8463604566282,-118.288268758625 33.8463614090223,-118.288268781435 33.8463871564066,-118.288268794207 33.8464004268176,-118.288269406858 33.8469894856246,-118.287119743355 33.846987233782)))"
20203,7351033034,7351-033-034,LOS ANGELES CA,19901 HAMILTON AVE LOS ANGELES CA 90502,LOS ANGELES,33.84976124,-118.2872469,6474445.623,1767831.471,"33.849761, -118.287247",221443.6719,1944.436823,,"MULTIPOLYGON (((-118.288139906465 33.8501060454495,-118.28686056644 33.8501134672283,-118.286571391102 33.8500400462582,-118.286571012754 33.8499969889191,-118.286489932234 33.8499974567205,-118.286488974471 33.8498809235456,-118.286466185276 33.8498810597747,-118.286464547243 33.8496811316192,-118.286487304061 33.8496810225128,-118.286485524248 33.8494687024516,-118.286969468418 33.8494659017843,-118.28697085041 33.8496291748744,-118.287880646156 33.8496238994562,-118.287879346032 33.8494657918672,-118.288134540298 33.849464329858,-118.288139906465 33.8501060454495)))",58368,Building,474434767879,39.86,67.9,99568,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.286853190564 33.8502635151207,-118.286846931129 33.8502628980568,-118.286843637829 33.8502629059192,-118.286840344529 33.8502629137815,-118.286837051229 33.8502629216437,-118.286833757929 33.8502629295059,-118.286830464629 33.8502629373679,-118.286827204168 33.8502629176729,-118.286823877747 33.8502628706566,-118.286820584164 33.8502627960833,-118.286817290582 33.8502627215098,-118.286813997 33.8502626469363,-118.286810703323 33.8502625448843,-118.28680744258 33.8502624427536,-118.286804181742 33.8502623131444,-118.286800854944 33.850262156214,-118.286797561079 33.8502619992049,-118.28679426712 33.8502618147173,-118.286790973256 33.850261657708,-118.28678771223 33.8502614731416,-118.286784418177 33.8502612611754,-118.286781157056 33.8502610491304,-118.286777862909 33.8502608096856,-118.286774568668 33.8502605427624,-118.28677130736 33.8502602757604,-118.286768013118 33.850260008837,-118.286764751716 33.8502597143565,-118.286761490314 33.8502594198759,-118.286758195884 33.8502590979954,-118.286754934293 33.8502587485579,-118.286751672797 33.8502584265986,-118.286748411112 33.8502580496825,-118.28674518236 33.8502576726878,-118.286741887743 33.8502572958501,-118.286738625964 33.8502568914553,-118.286735364185 33.8502564870605,-118.286732102312 33.8502560551873,-118.286728873373 33.8502556232353,-118.286725611406 33.8502551638834,-118.286722349345 33.8502546770531,-118.286719120311 33.8502542176225,-118.286715858156 33.8502537033136,-118.286712629028 33.8502532164044,-118.286709399711 33.8502526745385,-118.28670617049 33.8502521601507,-118.286702908146 33.8502515908848,-118.286699744696 33.8502510488613,-118.286696515192 33.8502504520382,-118.286693285782 33.8502498826934,-118.286690089117 33.8502492583131,-118.286686859613 33.8502486614898,-118.286683662853 33.850248009631,-118.286680466188 33.8502473852505,-118.286677269429 33.8502467333915,-118.286674072576 33.8502460540541,-118.286670875722 33.8502453747166,-118.286667678775 33.8502446679006,-118.286664514761 33.850243961006,-118.286661350747 33.8502432541112,-118.286658153611 33.8502424923383,-118.286654989597 33.8502417854434,-118.286651825301 33.8502409961133,-118.286648661005 33.8502402067831,-118.286645529641 33.8502394173742,-118.286642365345 33.8502386280439,-118.286639233794 33.8502377836781,-118.286636069498 33.8502369943476,-118.286632937946 33.8502361499816,-118.286629806301 33.8502352781373,-118.286626674656 33.8502344062928,-118.286623575944 33.8502335343697,-118.286620444299 33.850232662525,-118.286617345398 33.850231735645,-118.286614246498 33.8502308087649,-118.286611147598 33.8502298818847,-118.286608048698 33.8502289550044,-118.28660494961 33.8502279731673,-118.286601883549 33.85022701873,-118.286598817394 33.8502260368142,-118.286595751145 33.8502250274199,-118.286592684896 33.8502240180255,-118.286589618647 33.8502230086311,-118.286586585237 33.8502219716796,-118.2865835188 33.8502209073283,-118.286580485296 33.8502198428983,-118.286577451792 33.8502187784682,-118.286574418195 33.8502176865597,-118.286571450463 33.850216594494,-118.286568383838 33.8502154751855,-118.286565383079 33.8502143557198,-118.286562382321 33.8502132362541,-118.286559447334 33.8502120891528,-118.286556413454 33.8502109148087,-118.286553445441 33.8502097403074,-118.286550477427 33.8502085658061,-118.28654750932 33.8502073638263,-118.28654450828 33.850206161925,-118.286541605944 33.8502049323095,-118.286538668136 33.8502029608564,-118.286535868833 33.8502029675323,-118.286530093239 33.8501993816089,-118.286521024724 33.8501959134524,-118.286511857881 33.8501925829226,-118.286502625644 33.8501893899411,-118.286493328011 33.8501863345078,-118.286483997917 33.8501834165443,-118.286474569494 33.8501806362075,-118.286465108516 33.850177965862,-118.286455582236 33.850175460543,-118.286446023494 33.8501730926937,-118.286436399357 33.8501708623926,-118.286426709825 33.8501687696396,-118.286417020764 33.8501668142778,-118.286407266401 33.8501650239423,-118.286397479481 33.8501633435982,-118.286387660194 33.850161828202,-118.286377808444 33.8501604502754,-118.286367924231 33.8501592098184,-118.286358040489 33.8501581067525,-118.286348124378 33.8501571686345,-118.286338142871 33.8501563680646,-118.286328227701 33.8501557047288,-118.286318247135 33.850155178941,-118.286308267132 33.8501548180227,-118.286288506136 33.8501545078884,-118.286190661381 33.8501544662042,-118.286189582198 33.8492802645316,-118.287118517834 33.8492796145763,-118.288267543054 33.849278704412,-118.288268807325 33.8502003885927,-118.288268888343 33.8502621602952,-118.286853190564 33.8502635151207)))"
