OBJECTID_x,AIN,APN,SitusCity,SitusFullAddress,TaxRateCity,CENTER_LAT,CENTER_LON,CENTER_X,CENTER_Y,LAT_LON,ShapeSTArea,ShapeSTLength,Shape,WKT,OBJECTID_y,CODE,BLD_ID,HEIGHT,ELEV,AREA,LARIAC_SOU,LARIAC_DAT,STATUS,CODE_NUM,coords,PARCEL_WKT
55,2005019003,2005-019-003,LOS ANGELES CA,8419 STARKLAND AVE LOS ANGELES CA 91304,LOS ANGELES,34.22168984,-118.64632809999999,6366283.882,1903687.4219999998,"34.221690, -118.646328",13490.87891,505.90948039999995,,"MULTIPOLYGON (((-118.646276752286 34.221584643709,-118.6462897208 34.2215547863509,-118.646345823135 34.2215716341638,-118.646332855508 34.2216014635752,-118.646276752286 34.221584643709)))",1040496,Building,366293903645,10.28,941.08,208,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.646028033991 34.2216522872807,-118.646050660925 34.2216215564503,-118.646068931003 34.2215888858219,-118.646082607677 34.2215546991522,-118.646091512473 34.221519443932,-118.646526177232 34.221573263466,-118.646526751864 34.2219462902683,-118.646028033991 34.2216522872807)))"
55,2005019003,2005-019-003,LOS ANGELES CA,8419 STARKLAND AVE LOS ANGELES CA 91304,LOS ANGELES,34.22168984,-118.64632809999999,6366283.882,1903687.4219999998,"34.221690, -118.646328",13490.87891,505.90948039999995,,"MULTIPOLYGON (((-118.646403135605 34.2216805858873,-118.646365492161 34.2217749033191,-118.646310129156 34.221759645505,-118.646305586134 34.2217710184738,-118.64619724746 34.2217411508527,-118.646227881962 34.2216644844762,-118.646217970397 34.2216617624394,-118.646226212651 34.2216410540084,-118.646157953615 34.2216222371611,-118.646184239229 34.2215563666319,-118.646265592079 34.2215787675129,-118.646261697446 34.2215885160313,-118.646380180189 34.2216211602723,-118.646377422071 34.2216281277544,-118.646414684543 34.2216383983955,-118.646398328489 34.2216792925999,-118.646403135605 34.2216805858873)))",1057951,Building,366300903681,15.76,945.81,3590,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.646028033991 34.2216522872807,-118.646050660925 34.2216215564503,-118.646068931003 34.2215888858219,-118.646082607677 34.2215546991522,-118.646091512473 34.221519443932,-118.646526177232 34.221573263466,-118.646526751864 34.2219462902683,-118.646028033991 34.2216522872807)))"
1204,2013030023,2013-030-023,LOS ANGELES CA,22746 BALTAR ST LOS ANGELES CA 91304,LOS ANGELES,34.21616462,-118.622948,6373339.033,1901632.1090000002,"34.216165, -118.622948",8403.529297,400.102969,,"MULTIPOLYGON (((-118.623056526902 34.216299287245,-118.622970029453 34.2162995676352,-118.622969823375 34.2162587078322,-118.622875883639 34.2162590264726,-118.622875328067 34.2161403188903,-118.622935463206 34.2161401192976,-118.622935379555 34.2161200323353,-118.623044534955 34.2161196623461,-118.623044678909 34.2161478277703,-118.623049244355 34.2161478042616,-118.623049675595 34.2162367253357,-118.623055464071 34.2162366955291,-118.623056526902 34.216299287245)))",1044448,Building,373340901643,18.98,855.69,2910,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.622847647272 34.2163568233981,-118.622846527817 34.2159719837142,-118.623044994877 34.2159716494519,-118.623046148116 34.2163564614849,-118.622847647272 34.2163568233981)))"
42043,2010001010,2010-001-010,LOS ANGELES CA,22342 CHASE ST LOS ANGELES CA 91304,LOS ANGELES,34.22273489,-118.6139388,6376077.249,1904006.3469999998,"34.222735, -118.613939",13613.30566,490.8088726,,"MULTIPOLYGON (((-118.614009943618 34.2226985097843,-118.614048610628 34.2227653634715,-118.613982774556 34.2227916377668,-118.613986795464 34.2227985421518,-118.613919178215 34.222825540377,-118.613927956187 34.2228407193748,-118.613914169595 34.2228462301598,-118.613912795403 34.2228438462274,-118.613821792436 34.2228801407941,-118.613810935733 34.2228613724539,-118.613814332564 34.2228600092128,-118.613766686932 34.2227776754421,-118.613770447404 34.2227761724211,-118.613761131691 34.2227600341884,-118.613809981121 34.2227405239432,-118.613812359986 34.2227446337518,-118.61390336369 34.2227083112396,-118.613918775611 34.2227349152514,-118.614009943618 34.2226985097843)))",1035982,Building,376096904025,17.26,866.1,3011,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.613638404214 34.2226154283613,-118.613938621105 34.2226125822236,-118.614204378355 34.2226100578621,-118.614204747656 34.2227815532616,-118.613815771952 34.2229330673742,-118.613638404214 34.2226154283613)))"
76113,2017033009,2017-033-009,LOS ANGELES CA,7525 WISCASSET DR LOS ANGELES CA 91304,LOS ANGELES,34.20973029,-118.6600646,6362102.864,1899362.2030000002,"34.209730, -118.660065",21433.34766,646.7159907,,"MULTIPOLYGON (((-118.659877811226 34.2096259431448,-118.659959762492 34.2096496775265,-118.659954794673 34.2096614932953,-118.659996533497 34.2096736042302,-118.659978158153 34.2097173692491,-118.659998182048 34.2097231949237,-118.659982306554 34.2097610104996,-118.659959862836 34.2097545110407,-118.659957622742 34.2097598261782,-118.659864234441 34.2097327463126,-118.659847547447 34.2097725181525,-118.659771165774 34.2097503734079,-118.659796747449 34.2096893954924,-118.659799565494 34.2096902041413,-118.659809597321 34.2096663800618,-118.659836881058 34.2096742821093,-118.659845711879 34.2096532404498,-118.659864110684 34.2096585809599,-118.659877811226 34.2096259431448)))",1017856,Building,362144899351,27.49,1244.57,2222,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.659661228441 34.2097477318659,-118.659651820815 34.2097449046856,-118.659677435199 34.2096788957401,-118.659697871677 34.2096116509641,-118.659713039452 34.2095434507996,-118.659722758621 34.209544634395,-118.660375689965 34.2096241438114,-118.660375049665 34.2096811666475,-118.660404299685 34.2099709676094,-118.659661228441 34.2097477318659)))"
88895,2027001015,2027-001-015,LOS ANGELES CA,7630 ATRON AVE LOS ANGELES CA 91304,LOS ANGELES,34.20949955,-118.63729850000001,6368985.317000001,1899233.804,"34.209500, -118.637299",13167.63965,458.31885830000004,,"MULTIPOLYGON (((-118.637188819118 34.2095173692255,-118.637316117131 34.209412030711,-118.637322374677 34.2094172186181,-118.637334010078 34.2094075945968,-118.637348224063 34.2094194733568,-118.637336786185 34.209428958402,-118.637411050718 34.2094908903431,-118.637356916395 34.2095356642661,-118.637395863371 34.2095681600709,-118.6373196748 34.2096312136684,-118.637254497544 34.2095768455849,-118.637221892619 34.2096038374922,-118.637163340111 34.2095549853048,-118.637198771513 34.2095256705622,-118.637188819118 34.2095173692255)))",994251,Building,368996899240,19.3,895.5399999999998,3173,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.637031082006 34.2095195186588,-118.637275226589 34.2093097423154,-118.637316439231 34.2092743314041,-118.637322785907 34.2092697673624,-118.637329964691 34.2092661572755,-118.637337773764 34.2092636018176,-118.637345990426 34.2092621742939,-118.637354377257 34.2092619154558,-118.637362696575 34.209262831707,-118.63737071253 34.2092648985276,-118.637378195209 34.2092680570175,-118.637384931002 34.2092722172768,-118.637390730867 34.2092772583622,-118.637395424211 34.209283038624,-118.637402154707 34.2092951661513,-118.63740758621 34.209307733315,-118.637426201127 34.2093539514328,-118.637440945232 34.2094011242225,-118.637505732395 34.2096468589937,-118.637248496336 34.2096894321573,-118.637031082006 34.2095195186588)))"
89869,2027008038,2027-008-038,LOS ANGELES CA,7408 PLATT AVE LOS ANGELES CA 91304,LOS ANGELES,34.20523943,-118.6391888,6368403.967999999,1897687.139,"34.205239, -118.639189",13556.12793,467.6696336,,"MULTIPOLYGON (((-118.63925610511 34.2051864206235,-118.639198420312 34.2051815045418,-118.639200319659 34.2051661059667,-118.639209057226 34.2051668567711,-118.639209897443 34.2051599554818,-118.63926271759 34.2051644302605,-118.639259944404 34.2051867303038,-118.63925610511 34.2051864206235)))",963219,Building,368394897662,3.81,885.02,146,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.639161297571 34.2054262591838,-118.63914797281 34.2054008838296,-118.638994756997 34.2053339290978,-118.638954213516 34.2053216675712,-118.639063125678 34.2050321766383,-118.63938995274 34.2051172299539,-118.639411891473 34.2051229396527,-118.639382568171 34.2052196563476,-118.639338753483 34.205343530297,-118.639288505148 34.2054657070204,-118.639161297571 34.2054262591838)))"
89869,2027008038,2027-008-038,LOS ANGELES CA,7408 PLATT AVE LOS ANGELES CA 91304,LOS ANGELES,34.20523943,-118.6391888,6368403.967999999,1897687.139,"34.205239, -118.639189",13556.12793,467.6696336,,"MULTIPOLYGON (((-118.639065178469 34.2053258702776,-118.639121040447 34.2052394826626,-118.63910009916 34.2052301405483,-118.639118567107 34.2052015738732,-118.639147672555 34.2052145827272,-118.639174117361 34.2051737191456,-118.639260437112 34.2052122559621,-118.639236804136 34.2052487637471,-118.639249548717 34.2052544392742,-118.639224411264 34.2052932909197,-118.639270210537 34.2053137403746,-118.639218172562 34.2053941720559,-118.639065178469 34.2053258702776)))",1006984,Building,368415897705,26.68,906.3800000000001,2863,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.639161297571 34.2054262591838,-118.63914797281 34.2054008838296,-118.638994756997 34.2053339290978,-118.638954213516 34.2053216675712,-118.639063125678 34.2050321766383,-118.63938995274 34.2051172299539,-118.639411891473 34.2051229396527,-118.639382568171 34.2052196563476,-118.639338753483 34.205343530297,-118.639288505148 34.2054657070204,-118.639161297571 34.2054262591838)))"
89870,2027028007,2027-028-007,LOS ANGELES CA,23545 SPIRES ST LOS ANGELES CA 91304,LOS ANGELES,34.21151057,-118.6404814,6368027.682999999,1899971.761,"34.211511, -118.640481",11016.94922,453.23358269999994,,"MULTIPOLYGON (((-118.640589830493 34.2115138878442,-118.640532833892 34.2115132555974,-118.640532275952 34.2115483215981,-118.640430226374 34.2115472137813,-118.640430634349 34.211522727352,-118.640408008588 34.2115224900999,-118.640409972761 34.2113990973031,-118.640412684947 34.2113991379417,-118.640413131092 34.2113709964305,-118.64049738424 34.2113719244016,-118.640496983241 34.2113973177527,-118.640537603991 34.211397762642,-118.640537333319 34.2114141136676,-118.640591384368 34.2114147074146,-118.640589830493 34.2115138878442)))",963221,Building,368024899952,26.48,890.61,2867,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.640363250769 34.2117247277573,-118.640362508464 34.2112960840859,-118.640595692998 34.2112955098522,-118.64059726338 34.2117241491454,-118.640363250769 34.2117247277573)))"
114195,2010005029,2010-005-029,LOS ANGELES CA,8926 MEGAN AVE LOS ANGELES CA 91304,LOS ANGELES,34.23200396,-118.60544469999999,6378665.243,1907363.8909999998,"34.232004, -118.605445",11625.44336,450.4598484,,"MULTIPOLYGON (((-118.605609966432 34.2321693713441,-118.605511259513 34.2321899796687,-118.605501870777 34.2321590576003,-118.605493612095 34.2321607748966,-118.605492154447 34.2321560012854,-118.605463381578 34.2321620251289,-118.6054579583 34.2321441637644,-118.605409298509 34.2321543269189,-118.605386521351 34.2320791752033,-118.605429927889 34.2320701102779,-118.605426402051 34.2320583942815,-118.605460658884 34.2320512151752,-118.605462150293 34.2320561545026,-118.605485572418 34.2320512555143,-118.60548289478 34.2320424481745,-118.605525806054 34.2320334956811,-118.605528179317 34.2320413425923,-118.605542880092 34.2320382731948,-118.605565793586 34.2321139461951,-118.60559156117 34.2321085693503,-118.605609966432 34.2321693713441)))",1064416,Building,378647907394,27.57,1052.03,2274,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.605245043642 34.231815122477,-118.605525929372 34.2318148997286,-118.605638619284 34.232161809606,-118.605376684041 34.232220495872,-118.605245043642 34.231815122477)))"
